Operation Date;Operation Type;Symbol;Description;Trade Action;Qty;Price;Fees;Net amount;Saldo
2023-03-30T11:45:18.344Z;TRANSACTION;VOO;DIVIDEND - DIVIDEND;;0;0;0;-0,98;3,16
2023-03-30T11:45:18.344Z;TRANSACTION;VOO;DIVIDEND - DIVIDEND;;0;0;0;3,26;4,14
2023-03-01T19:15:40.697Z;TRADE;VOO;BUY - VOO;BUY;0,32776;362,6096;0,15;-119;0,88
2023-03-01T19:09:20.809Z;TRANSACTION;;DEPOSIT;;0;0;0;120;119,88
2023-02-02T17:13:55.626Z;TRADE;VOO;BUY - VOO;BUY;0,3274;382,5552;0,15;-125,4;-0,12
2023-02-02T16:29:39.831Z;TRANSACTION;;DEPOSIT;;0;0;0;125;125,28
2023-01-03T14:55:24.869Z;TRADE;VOO;BUY - VOO;BUY;0,32916;351,955;0,15;-116;0,28
2023-01-03T12:48:07.253Z;TRANSACTION;;DEPOSIT;;0;0;0;115;116,28
2022-12-27T12:46:21.044Z;TRANSACTION;VOO;DIVIDEND - DIVIDEND;;0;0;0;-0,61;1,28
2022-12-27T12:46:21.044Z;TRANSACTION;VOO;DIVIDEND - DIVIDEND;;0;0;0;2,02;1,89
2022-12-01T16:29:16.914Z;TRADE;VOO;BUY - VOO;BUY;0,297;373,7299;0,1;-111,1;-0,13
2022-12-01T16:11:00.390Z;TRANSACTION;;DEPOSIT;;0;0;;111;110,97
2022-11-02T13:56:35.218Z;TRADE;VOO;BUY - VOO;BUY;0,29299;351,6499;0;-103,03;-0,03
2022-11-02T13:56:00.746Z;TRANSACTION;;DEPOSIT;;0;0;0;103;103
2022-10-03T17:36:27.814Z;TRADE;VOO;BUY - VOO;BUY;0,29747;336,1599;0;-100;0
2022-10-03T17:36:00.355Z;TRANSACTION;;DEPOSIT;;0;0;0;100;100
2022-09-29T13:32:00.749Z;TRADE;VOO;BUY - VOO;BUY;0,29681;336,9099;0;-100;0
2022-09-29T11:10:01.229Z;TRANSACTION;;DEPOSIT;;0;0;0;100;100
2022-08-03T16:35:27.812Z;TRADE;VOO;BUY - VOO;BUY;0,02628;380,3999;0;-10;0
2022-08-03T14:34:00.481Z;TRANSACTION;;DEPOSIT;;0;0;;10;10
