Statement,Header,Nombre del campo,Valor del campo
Statement,Data,Title,Transaction History
Statement,Data,Period,"Abril 29, 2020 - Diciembre 26, 2025"
Statement,Data,WhenGenerated,"2025-12-28, 15:21:07 EST"
Summary,Header,Nombre del campo,Valor del campo
Summary,Data,Divisa base,USD
Summary,Data,Efectivo inicial,0.0
Summary,Data,Cambio,320.438476139
Summary,Data,Efectivo final,320.438476139
Transaction History,Header,Date,Account,Description,Transaction Type,Symbol,Quantity,Price,Gross Amount ,Commission,Net Amount
Transaction History,Data,2020-09-14,U***7847,CASSAVA SCIENCES INC,Buy,SAVA,8.0,7.43,-59.44,-0.5944,-60.0344
Transaction History,Data,2020-09-14,U***7847,CASSAVA SCIENCES INC,Sell,SAVA,-8.0,7.82,62.56,-0.651934576,61.908065424
Transaction History,Data,2020-09-14,U***7847,WORKHORSE GROUP INC,Buy,WKHS,5.0,23.51,-117.55,-1.0,-118.55
Transaction History,Data,2020-09-08,U***7847,MEDALLIA INC,Sell,MDLA,-3.0,29.8,89.4,-0.89633274,88.50366726
Transaction History,Data,2020-09-03,U***7847,Balance tarifa mensual mínima para Ago 2020,Other Fee,-,-,-,-5.59,-,-5.59
Transaction History,Data,2020-09-03,U***7847,J*****04:Global Snapshot PNP for Ago 2020,Other Fee,-,-,-,0.03,-,0.03
Transaction History,Data,2020-09-03,U***7847,J*****04:Global Snapshot PNP for Ago 2020,Other Fee,-,-,-,-0.03,-,-0.03
Transaction History,Data,2020-09-03,U***7847,J*****04:US Consolidated Snapshot for Ago 2020,Other Fee,-,-,-,-0.09,-,-0.09
Transaction History,Data,2020-09-03,U***7847,J*****04:US Consolidated Snapshot for Ago 2020,Other Fee,-,-,-,0.09,-,0.09
Transaction History,Data,2020-09-03,U***7847,KENSINGTON CAPITAL ACQUIS-A,Sell,KCAC,-5.0,16.0,80.0,-0.817363,79.182637
Transaction History,Data,2020-09-03,U***7847,KENSINGTON CAPITAL ACQUIS-A,Buy,KCAC,5.0,16.2,-81.0,-0.825,-81.825
Transaction History,Data,2020-09-02,U***7847,NANOVIRICIDES INC,Sell,NNVC,-20.0,4.94,98.8,-0.99256348,97.80743652
Transaction History,Data,2020-09-02,U***7847,NANOVIRICIDES INC,Buy,NNVC,20.0,5.1773,-103.546,-1.0,-104.546
Transaction History,Data,2020-09-01,U***7847,EASTMAN KODAK CO,Sell,KODK,-10.0,8.76,87.6,-0.87912596,86.72087404
Transaction History,Data,2020-09-01,U***7847,EASTMAN KODAK CO,Buy,KODK,10.0,9.77,-97.7,-0.977,-98.677
Transaction History,Data,2020-08-21,U***7847,QUMU CORP,Buy,QUMU,20.0,5.63,-112.6,-1.0,-113.6
Transaction History,Data,2020-08-20,U***7847,OPGEN INC,Sell,OPGN,-40.0,2.96,118.4,-1.00737664,117.39262336
Transaction History,Data,2020-08-20,U***7847,OPGEN INC,Buy,OPGN,40.0,3.6,-144.0,-1.0,-145.0
Transaction History,Data,2020-08-14,U***7847,MIDATECH PHARMA PLC-ADR,Sell,MTP,-30.0,3.44,103.2,-1.00585072,102.19414928
Transaction History,Data,2020-08-14,U***7847,MIDATECH PHARMA PLC-ADR,Buy,MTP,30.0,3.85,-115.5,-1.0,-116.5
Transaction History,Data,2020-08-14,U***7847,CHINA RECYCLING ENERGY CORP,Buy,CREG,20.0,4.5,-90.0,-0.9,-90.9
Transaction History,Data,2020-08-14,U***7847,CHINA RECYCLING ENERGY CORP,Sell,CREG,-20.0,4.0,80.0,-0.858148,79.141852
Transaction History,Data,2020-08-13,U***7847,NTN BUZZTIME INC,Sell,NTN,-30.0,2.96,88.8,-0.89353248,87.90646751999999
Transaction History,Data,2020-08-13,U***7847,NTN BUZZTIME INC,Buy,NTN,30.0,3.55,-106.5,-1.0,-107.5
Transaction History,Data,2020-08-11,U***7847,DOYU(25985W105) Tarifa ADR USD 0.02 por acción,Other Fee,DOYU,-,-,-0.16,-,-0.16
Transaction History,Data,2020-08-06,U***7847,AMERICAN VIRTUAL CLOUD TECHN,Sell,AVCT,-10.0,12.321,123.21,-1.003912941,122.206087059
Transaction History,Data,2020-08-06,U***7847,AMERICAN VIRTUAL CLOUD TECHN,Buy,AVCT,10.0,13.5,-135.0,-1.0,-136.0
Transaction History,Data,2020-08-05,U***7847,J*****04:US Consolidated Snapshot for Jul 2020,Other Fee,-,-,-,0.27,-,0.27
Transaction History,Data,2020-08-05,U***7847,J*****04:US Consolidated Snapshot for Jul 2020,Other Fee,-,-,-,-0.27,-,-0.27
Transaction History,Data,2020-08-05,U***7847,DADA NEXUS LTD-ADR,Sell,DADA,-4.0,26.16,104.64,-1.002788544,103.637211456
Transaction History,Data,2020-08-04,U***7847,ALTERITY THERAPEUTICS-ADR,Sell,ATHE,-30.0,4.05,121.5,-1.00625515,120.49374485
Transaction History,Data,2020-08-04,U***7847,ALTERITY THERAPEUTICS-ADR,Buy,ATHE,20.0,4.4,-88.0,-0.94,-88.94
Transaction History,Data,2020-08-04,U***7847,ALTERITY THERAPEUTICS-ADR,Buy,ATHE,10.0,4.4,-44.0,-0.06,-44.06
Transaction History,Data,2020-08-03,U***7847,MACERICH CO/THE,Sell,MAC,-10.0,7.3415,73.415,-0.736962472,72.678037528
Transaction History,Data,2020-07-31,U***7847,SONNET BIOTHERAPEUTICS HOLDI,Sell,SONN,-10.0,6.0,60.0,-0.602516,59.397484
Transaction History,Data,2020-07-31,U***7847,SONNET BIOTHERAPEUTICS HOLDI,Buy,SONN,10.0,6.5,-65.0,-0.65,-65.65
Transaction History,Data,2020-07-30,U***7847,EDESA BIOTECH INC,Buy,EDSA,8.0,12.75,-102.0,-1.0,-103.0
Transaction History,Data,2020-07-30,U***7847,EDESA BIOTECH INC,Sell,EDSA,-8.0,15.1,120.8,-1.00362168,119.79637832
Transaction History,Data,2020-07-28,U***7847,MEDALLIA INC,Buy,MDLA,3.0,30.7,-92.1,-0.921,-93.021
Transaction History,Data,2020-07-28,U***7847,SPECTRUM PHARMACEUTICALS INC,Buy,SPPI,20.0,4.859,-97.18,-0.9718,-98.15180000000001
Transaction History,Data,2020-07-28,U***7847,SPECTRUM PHARMACEUTICALS INC,Sell,SPPI,-20.0,4.5,90.0,-0.958369,89.041631
Transaction History,Data,2020-07-27,U***7847,ICLICK INTERACTIVE ASIA-ADR,Sell,ICLK,-20.0,6.0038,120.076,-1.00503368,119.07096632
Transaction History,Data,2020-07-24,U***7847,DADA NEXUS LTD-ADR,Buy,DADA,4.0,23.08,-92.32,-0.9232,-93.24319999999999
Transaction History,Data,2020-07-23,U***7847,LIQUID MEDIA GROUP LTD,Sell,YVR,-50.0,2.35,117.5,-1.00854675,116.49145325
Transaction History,Data,2020-07-23,U***7847,LIQUID MEDIA GROUP LTD,Buy,YVR,50.0,2.4,-120.0,-1.0,-121.0
Transaction History,Data,2020-07-22,U***7847,NIU TECHNOLOGIES-SPONS ADR,Sell,NIU,-6.0,19.77,118.62,-1.003335502,117.616664498
Transaction History,Data,2020-07-17,U***7847,VERONA PHARMA PLC - ADR,Sell,VRNA,-5.0,14.3,71.5,-0.71717515,70.78282485
Transaction History,Data,2020-07-17,U***7847,VERONA PHARMA PLC - ADR,Buy,VRNA,5.0,15.5,-77.5,-0.775,-78.275
Transaction History,Data,2020-07-16,U***7847,NIU TECHNOLOGIES-SPONS ADR,Buy,NIU,6.0,18.3,-109.8,-1.0,-110.8
Transaction History,Data,2020-07-16,U***7847,NABRIVA THERAPEUTICS PLC,Sell,NBRV,-100.0,1.02,102.0,-1.0141542,100.9858458
Transaction History,Data,2020-07-16,U***7847,NABRIVA THERAPEUTICS PLC,Buy,NBRV,100.0,1.06,-106.0,-1.0,-107.0
Transaction History,Data,2020-07-15,U***7847,IMMUTEP LTD-SP ADR,Sell,IMMP,-100.0,1.65,165.0,-1.0155465,163.9844535
Transaction History,Data,2020-07-15,U***7847,IMMUTEP LTD-SP ADR,Buy,IMMP,100.0,1.62,-162.0,-1.0,-163.0
Transaction History,Data,2020-07-14,U***7847,DOUYU INTERNATIONAL HOLD-ADR,Sell,DOYU,-8.0,12.01,96.08,-0.963875368,95.116124632
Transaction History,Data,2020-07-14,U***7847,LAKELAND INDUSTRIES INC,Sell,LAKE,-4.0,21.6,86.4,-0.86638544,85.53361456
